코드,종목명,ROE(%),영업이익률(%),부채비율(%),PER(배),PBR(배),BPS,EPS성장(%),통과항목,미통과
000660,SK하이닉스,44.15,48.59,45.95,11.04,3.73,174538.0,116.9,4,PBR 3.73 (기준 2 이하)
267260,HD현대일렉트릭,41.5,24.4,134.63,38.08,13.73,56366.0,46.1,4,PBR 13.73 (기준 2 이하)
298040,효성중공업,24.41,12.52,190.31,31.94,7.05,252555.0,133.5,4,PBR 7.05 (기준 2 이하)
058470,리노공업,22.45,47.51,8.3,30.24,6.26,9635.0,34.2,4,PBR 6.26 (기준 2 이하)
101490,에스앤에스텍,21.24,20.67,29.18,17.77,3.32,14549.0,91.3,4,PBR 3.32 (기준 2 이하)
012450,한화에어로스페이스,19.14,11.57,221.38,32.93,5.0,188244.0,-38.1,3,부채비율 200% 이하 | EPS성장 -38.1% (기준 10%↑) | PBR 5.0 (기준 2 이하)
183300,코미코,18.52,18.37,178.59,18.55,3.3,26808.0,-10.7,4,EPS성장 -10.7% (기준 10%↑) | PBR 3.3 (기준 2 이하)
083450,GST,16.15,17.04,26.8,11.74,1.71,16848.0,0.8,4,EPS성장 0.8% (기준 10%↑)
095610,테스,15.76,16.47,24.43,15.44,2.02,22090.0,33.7,4,PBR 2.02 (기준 2 이하)
319660,피에스케이,15.54,19.36,19.84,13.61,1.98,18606.0,-0.7,4,EPS성장 -0.7% (기준 10%↑)
